Country,ISO,submission,submission_label,previous_submission,submission_type,submission_type_label,submission_date,indc_submission,indc_submission_label,pa_status,pa_status_label,pa_ratified,pa_ratified_label,pa_ratified_date,pa_withdraw_date,pa_sign,pa_sign_label,pa_sign_date,ndce_ghg,ndce_compare,ndce_status_2020,ndce_status_2020_label,ndce_statement,ndce_source,ndce_date,nz_status,nz_status_label,nz_source,nz_year,nz_year_label,nz_ghg,nz_ghg_label,nz_sec,nz_sec_label,nz_offset,nz_offset_label,nz_ship,nz_ship_label,nz_separate_net_gross,nz_separate_net_gross_label
Azerbaijan,AZE,Only First NDC,Only First NDC,,First NDC,First NDC,1/9/2017,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,1/9/2017,,Yes,Yes,4/22/2016,0.11%,,,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,10/18/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,12/23/2016,,Yes,Yes,4/22/2016,0.11%,Compare with previous NDC,Submitted New or Updated NDC,Submitted New or Updated NDC,"Bahrain commits to adaptation measures with mitigation co-benefits related to coastal zones, afforestation, and water resources.","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/NDC of the Kingdom of Bahrain under UNFCCC.pdf"">Bahrain First NDC (Updated submission)</a>",10/18/2021,In Political Pledge,Net-zero Target in Political Pledge,"<a href=""https://unfccc-cop26.streamworld.de/webcast/first-part-of-the-high-level-segment-for-heads-o-3"">Speech during COP26 World Leaders Summit</a> (11/2/2021) ",2060,Target Year After 2050,GHG Coverage Unclear or Undecided,GHG Coverage Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Net Target Only ,Net Target Only 
Bangladesh,BGD,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,8/26/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,9/21/2016,,Yes,Yes,4/22/2016,0.48%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,"Bangladesh commits to reduce GHG emissions by 6.73% (27.56 MtCO2e, unconditional) and additional 15.12% (61.9 MtCO2e, conditional) by 2030 compared to BAU.","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/NDC_submission_20210826revised.pdf"">Bangladesh First NDC (Updated submission)</a> ",8/26/2021,,,,,,,,,,,,,,,
Barbados,BRB,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,7/30/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,4/22/2016,,Yes,Yes,4/22/2016,0.01%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,"Barbados commits to reduce GHG emisssions by 20% (unconditional) and 35% (conditional) by 2025, and by 35% (unconditional) and 70% (conditional) by 2030, compared to BAU.","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/2021 Barbados NDC update - 21 July 2021.pdf"">Barbados First NDC (Updated submission)</a>",7/30/2021,In Political Pledge,Net-zero Target in Political Pledge,"<a href=""https://www.climateambitionsummit2020.org/ondemand.php"">Climate Ambition Summit 2020</a> (12/12/2020) ",2030,Target Year Before 2050,GHG Coverage Unclear or Undecided,GHG Coverage Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Net Target Only,Net Target Only
Belarus,BLR,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,10/11/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,9/21/2016,,Yes,Yes,4/22/2016,0.13%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,"Belarus commits to reducing its emissions by 35% by 2030 compared to 1990 levels (unconditional), and 40% by 2030 compared to 1990 levels (conditional). ","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/Belarus_NDC_English.pdf"">Belarus First NDC (Updated submission)</a>",10/11/2021,,,,,,,,,,,,,,,
Belgium,BEL,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,12/17/2020,No Document Submitted,No Document Submitted,Joined Agreement,Joined Agreement,Yes,Yes,4/6/2017,,Yes,Yes,4/22/2016,0.22%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,"The EU and its Member States, acting jointly, commits to reduce emissions by at least 55% by 2030 compared to 1990.","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/EU_NDC_Submission_December 2020.pdf"">EU Updated First NDC (Belgium)</a>",12/17/2020,,,,,,,,,,,,,,,
Belize,BLZ,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,9/1/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,4/22/2016,,Yes,Yes,4/22/2016,0.01%,Compare with previous NDC,Submitted New or Updated NDC,Submitted New or Updated NDC,"Belize commits to mitigation targets and actions in AFOLU, energy, transport and waste sectors, estimated to avoid 5.6 MtCO2e cumulatively during 2021-2030, and a suite of interventions to increase relience and adaptation.","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/Belize Updated NDC.pdf"">Belize First NDC (Updated submission)</a>",9/1/2021,,,,,,,,,,,,,,,
Benin,BEN,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,10/12/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,10/31/2016,,Yes,Yes,4/22/2016,0.05%,Compare with previous NDC,Submitted New or Updated NDC,Submitted New or Updated NDC,Benin commits to measures which are estimated to reduce its emissions by 20.15% by over 2021-2030 compared to BAU.,"<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/CDN_ACTUALISEE_BENIN2021.pdf"">Chilean Presidency Communique</a>",10/12/2021,,,,,,,,,,,,,,,
Bhutan,BTN,2020 NDC (Second NDC),New or Updated NDC,First NDC,Second NDC,Second NDC,6/22/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,9/19/2017,,Yes,Yes,4/22/2016,0.00%,Compare with previous NDC,Submitted New or Updated NDC,Submitted New or Updated NDC,Bhutan commits to remain carbon-neutral.,"<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/Second NDC Bhutan.pdf"">Bhutan Second NDC</a>",6/22/2021,In Policy Document,Net-zero Target in Policy Document,"<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Bhutan%20Second/Second%20NDC%20Bhutan.pdf"">Kingdom of Bhutan Second Nationally Determined Contribution</a> (6/22/2021);<br><a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Bhutan%20First/Bhutan-INDC-20150930.pdf"">Kingdom of Bhutan Intended Nationally Determined Contribution</a> (9/18/2017)",Already achieved and commit to maintain,Not Applicable,All GHGs Covered,All GHGs Covered,All sectors,All Domestic Sectors Covered,International Offsets Included,International Offsets Included,Unclear or Undecided,Unclear or Undecided,Net Target Only,Net Target Only
Bolivia,BOL,2020 NDC (Second NDC),New or Updated NDC,First NDC,Second NDC,Second NDC,4/15/2022,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,10/5/2016,,Yes,Yes,4/22/2016,0.28%,Compare with previous NDC,Submitted New or Updated NDC,Submitted New or Updated NDC,"Bolivia commits to sectoral measures in energy, forest, water and agriculture sectors.","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/NDC_Bolivia-2021-2030_UNFCCC_en.pdf"">Bolivia Second NDC</a>",4/15/2022,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,4/19/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,3/16/2017,,Yes,Yes,4/22/2016,0.05%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,"Bosnia and Herzegovina commits to reduce emissions by 12.8% (unconditional) and 17.5% (conditional) by 2030; 50% (unconditional) and 55% (conditional) by 2050, compared to 2014 levels.","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/NDC BiH_November 2020 FINAL DRAFT 05 Nov ENG LR.pdf"">Bosnia and Herzegovina First NDC (Updated submission)</a>",4/19/2021,,,,,,,,,,,,,,,
Botswana,BWA,Only First NDC,Only First NDC,,First NDC,First NDC,11/11/2016,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,11/11/2016,,Yes,Yes,4/22/2016,0.11%,,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,4/7/2022,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,9/21/2016,,Yes,Yes,4/22/2016,2.92%,Compare with previous NDC,Submitted New or Updated NDC,Submitted New or Updated NDC,"Brazil commits to reduce emissions from 2005 levels by 37% in 2025, and by 50% in 2030.  ","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/Updated - First NDC -  FINAL - PDF.pdf"">Brazil First NDC - Second update</a>",4/7/2022,In Political Pledge (4/22/2021); <br>In Policy Document (12/8/2020) and (10/28/2021),Net-zero Target in Policy Document,"<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Brazil%20First/2021%20-%20Carta%20MRE.pdf"">Addendum to Brazil's Updated First NDC</a> (10/28/2021); <a href=""https://www.state.gov/leaders-summit-on-climate/"">Leaders Summit On Climate</a> (4/22/2021); <br><a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Brazil%20First/Brazil%20First%20NDC%20(Updated%20submission).pdf"">Brazil Updated First Nationally Determined Contribution</a> (12/8/2020)",2050,2050 as Target Year,GHG Coverage Unclear or Undecided,GHG Coverage Unclear or Undecided,All sectors,All Domestic Sectors Covered,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Net Target Only,Net Target Only
Brunei,BRN,2020 NDC (First NDC),New or Updated NDC,INDC,First NDC,First NDC,12/30/2020,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,9/21/2016,,Yes,Yes,4/22/2016,0.02%,Compare with previous NDC,Submitted New or Updated NDC,Submitted New or Updated NDC,Brunei Darussalam commits to reduce GHG emissions by 20% relative to Business-As-Usual levels (29.5 MtCO2e) by 2030.,"<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/Brunei Darussalam%27s NDC 2020.pdf"">Brunei Darussalam First NDC (Updated submission)</a> ",12/30/2020,,,,,,,,,,,,,,,
Bulgaria,BGR,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,12/17/2020,No Document Submitted,No Document Submitted,Joined Agreement,Joined Agreement,Yes,Yes,11/29/2016,,Yes,Yes,4/22/2016,0.04%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,"The EU and its Member States, acting jointly, commits to reduce emissions by at least 55% by 2030 compared to 1990.","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/EU_NDC_Submission_December 2020.pdf"">EU Updated First NDC (Bulgaria)</a>",12/17/2020,In Political Pledge,Net-zero Target in Political Pledge,"<a href=""https://unfccc-cop26.streamworld.de/webcast/first-part-of-the-high-level-segment-for-heads-o-3"">Speech during COP26 World Leaders Summit</a> (11/2/2021) ",2050,2050 as Target Year,GHG Coverage Unclear or Undecided,GHG Coverage Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Net Target Only ,Net Target Only 
Burkina Faso,BFA,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,10/19/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,11/11/2016,,Yes,Yes,4/22/2016,0.11%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,"Burkina Faso commits to reducing its emissions by 29.42% (19.6% unconditional, 9.8% conditional) by 2030 compared to BAU.","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/Rapport CDN_BKFA.pdf"">Burkina Faso First NDC (Updated submission)</a>",10/9/2021,,,,,,,,,,,,,,,
